species_code,marine_species_name,marine_species_definition,WoRMS_AphiaID,taxonomic_source,kingdom,phylum,class,order,family,genus,species,load_date
LEPSPP,cyanoplax spp,lepidochitona spp; may include lepidochitona dentiens and juvenile cyanoplax hartwegii,385574,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,NULL,10/24/2023
LEPTAS,leptasterias spp,leptasterias spp,123222,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,NULL,10/24/2023
LICHEN,lichen,lichen,382455,World Register of Marine Species: www.marinespecies.org,Fungi,(Division) Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,NULL,NULL,10/24/2023
LIGOCC,ligia spp,ligia occidentalis,146998,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,NULL,10/24/2023
LIMPET,limpets,all species of limpets through spring 2002; all limpets other than lottia gigantea from fall 2002 to present,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
LIMPLG,limpets over 15 mm in size,limpets over 15 mm in size other than lottia gigantea,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
LIMUNS,limpets unsized on all substrate,limpets of all sizes on all substrate types,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
LIRDIR,lirabuccinum dirum,lirabuccinum dirum,491076,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Tudiclidae,Lirabuccinum,Lirabuccinum dirum,10/24/2023
LITSPP,littorina spp,littorina spp,138135,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,NULL,10/24/2023
LITUND,megastraea undosa,prev. lithopoma undosum; currently megastraea undosa,413410,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lithopoma,Lithopoma undosum,10/24/2023
LMDALL,limpets 5-15 mm in size on all substrate,limpets 5-15 mm in size on all substrate (other than lottia gigantea),391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
